name,city_name,address,email,website,phone_number,fax_number,top_tier_firm_rankings,firm_rankings
WALKERS,Jersey,"WALKERS PO BOX 72,WALKER HOUSE 28-34 HILL STREET ST HELIER JE4 8PN Jersey",info@walkersglobal.com,https://www.walkersglobal.com,01534700700,01534700800,[],"['Banking and finance', 'Capital markets', 'Corporate and commercial', 'Dispute resolution', 'Employment', 'Investment funds', 'Private client, trusts and tax']"
Voisin Law,Jersey,Voisin Law 37 ESPLANADE ST HELIER JE1 1AW Jersey,georginajeffries@voisinlaw.com,https://www.voisinlaw.com,01534500300,01534500350,[],"['Commercial property', 'Corporate and commercial', 'Banking and finance', 'Private client, trusts and tax', 'Dispute resolution']"
Spoor & Fisher,Jersey,Spoor & Fisher Africa House 11 Castle Street ST HELIER JE2 3BT Jersey,info@spoor.co.uk,http://www.spoor.com,01534838000,01534838001,[],[]
Steenson Nicholls LLP,Jersey,Steenson Nicholls LLP Third Floor Mielles House La Rue des Mielles JE2 3QD Jersey,,www.steensonnicholls.com,+44(0)1534888080,,[],"['Dispute resolution', 'Regulatory and white-collar crime']"
Viberts,Jersey,"Viberts VIBERTS HOUSE, PO BOX 737 DON STREET ST HELIER JE4 8ZQ Jersey",jersey.lawyer@viberts.com,http://www.viberts.com,01534888666,01534888555,"['Employment', 'Family']","['Corporate and commercial', 'Dispute resolution', 'Private client, trusts and tax', 'Banking and finance']"
Appleby,Jersey,Appleby 13-14 ESPLANADE ST HELIER JE1 1BD Jersey,jersey@applebyglobal.com,https://www.applebyglobal.com,01534888777,,['Commercial property'],"['Banking and finance', 'Capital markets', 'Corporate and commercial', 'Dispute resolution', 'Employment', 'Investment funds', 'Private client, trusts and tax', 'Banking and finance']"
Zaiwalla & Co,London practice areas,Zaiwalla & Co CHANCERY HOUSE 53-64 CHANCERY LANE LONDON WC2A 1QS England,info@zaiwalla.co.uk,https://www.zaiwalla.co.uk,02073121000,02074049473,[],"['Banking litigation: investment and retail', 'Commercial litigation: mid-market', 'International arbitration']"
Womble Bond Dickinson (UK) LLP,London practice areas,Womble Bond Dickinson (UK) LLP 4 MORE LONDON RIVERSIDE LONDON SE1 2AU England,info@wbd-uk.com,https://www.womblebonddickinson.com,03454150000,,"['Agriculture and estates', 'Banking and finance', 'Banking and finance', 'Charities and not-for-profit', 'Commercial litigation: Hampshire', 'Commercial litigation: Newcastle', 'Commercial property: Dorset, Devon and Cornwall', 'Commercial property: Hampshire', 'Commercial property: Newcastle', 'Construction', 'Contentious trusts and probate', 'Corporate and commercial: Hampshire', 'Corporate and commercial: Newcastle', 'Corporate tax', 'Debt recovery', 'Education', 'Employment', 'Employment: Bristol', 'Employment: Hampshire', 'Employment', 'Health and safety', 'Insolvency and corporate recovery', 'Intellectual property', 'IT and telecoms', 'IT and telecoms', 'Pensions', 'Personal tax, trusts and probate', 'Professional negligence', 'Property litigation', 'Property litigation', 'Social housing']","['Health and safety', 'Rail', 'Commercial property: investment', 'Data protection, privacy and cybersecurity', 'Education: institutions', 'Education: schools', 'Local government', 'Pensions: dispute resolution', 'Power (including electricity, nuclear and renewables)', 'Professional negligence', 'Charities and not-for-profit', 'Commercial property: corporate occupiers', 'Commercial property: development', 'Construction: non-contentious', 'Contentious trusts and probate', 'Fintech', 'Oil and gas', 'Partnership', 'PATMA: Trade mark attorneys', 'Pensions (non-contentious)', 'Product liability: defendant', 'Retail and consumer', 'Construction: contentious', 'Intellectual property: patents (contentious and non-contentious)', 'Intellectual property: trade marks, copyright and design', 'Personal tax, trusts and probate', 'Social housing: local authorities and registered providers', 'Financial services: non-contentious/regulatory', 'Property finance', 'Immigration', 'Banking and finance', 'Banking and finance', 'Commercial litigation: Bristol', 'Commercial litigation: Dorset, Devon and Cornwall', 'Commercial property: Bristol', 'Commercial property: Leeds, West Yorkshire, North Yorkshire', 'Corporate and commercial: Bristol', 'Corporate and commercial: Leeds, West Yorkshire, North Yorkshire', 'Debt recovery', 'Energy', 'Energy, project finance and PFI', 'Environment', 'EU and competition', 'Insolvency and corporate recovery', 'IT and telecoms', 'Local government', 'Personal tax, trusts and probate', 'Planning', 'Planning', 'Planning and environment', 'Property litigation', 'Agriculture and estates', 'Corporate tax', 'Local government', 'Personal tax, trusts and probate', 'Professional negligence', 'Construction', 'Employment: Leeds and West Yorkshire; North Yorkshire', 'Commercial litigation: Leeds, West Yorkshire, North Yorkshire', 'Clinical negligence and personal injury: defendant']"
Wixted & Co Limited,London practice areas,Wixted & Co Limited 57 PUTNEY BRIDGE ROAD LONDON SW18 1NP England,info@wixted.co.uk,http://www.wixted.co.uk,02088778700,02088778701,[],[]
Taylor Rose MW,East Midlands,"Taylor Rose MW Office 407, KG Business Centre Kingsfield Way, Dallington Northampton NN5 7QS England",,,02035404444,02035404445,[],[]
